SUPP_ID,SUPP_NAME,COUNTRY_NAME,SUPP_CITY,SUPP_ADDR,DEBAR_FROM_DATE,DEBAR_TO_DATE,DEBAR_REASON,SUPP_ELIG_STAT,INELIGIBLY_STATUS,LAST_REFRESH_DATE
308516,MR. PETER LEE,China,"NANCHANG, 330046",NO. 88 ERQI NORTH ROAD,2014-04-18,2999-12-31,"Procurement Guidelines, 1.14(a)(ii)",DEBARRED,Ongoing,2026-09-23T05:00:01.779Z
307093,L’ENTREPRISE GÉNÉRALE DE CONSTRUCTION RIJAVOLA,Madagascar,ANTANANARIVO 101,LOT IVL 58 AP BIS ANDOHATAPENAKA- III,2014-06-03,2999-12-31,"Procurement Guidelines, 1.14(a)(ii)",DEBARRED,Ongoing,2026-09-23T05:00:01.779Z
165988,ATLAS MEDICINE CONCERN PVT. LTD.,Nepal,KATHMANDU,"1535 BHATBHATENI, G.P.O. BOXES 3868 AND 10807",2014-01-02,2999-12-31,"Procurement Guidelines, 1.14(a)(ii)",DEBARRED,Ongoing,2026-09-23T05:00:01.779Z
306871,HARJIT SINGH,Canada,"QUEBEC, K0G 1J0","904, ROUTE FLYNN KEMPTVILLE",2014-03-31,2999-12-31,"Consultant Guidelines, 1.25(a)(ii)",DEBARRED,Ongoing,2026-09-23T05:00:01.779Z
306872,COMPUAIDS INC.,Canada,"OTTAWA, ONTARIO, K1Z 8P8",201-290 PICTON AVENUE,2014-03-31,2999-12-31,Controlled Affiliate of a Sanctioned Entity.,DEBARRED,Ongoing,2026-09-23T05:00:01.779Z
308022,MEDTECHNICA PLUS CJSC,Armenia,7 YEREVAN 0025,HERATSI STR.,2014-12-30,2999-12-31,"Procurement Guidelines, 1.14(a)(ii)",DEBARRED,Ongoing,2026-09-23T05:00:01.779Z
307014,MR. YUSRI YUSUF,Indonesia,KECAMATAN SYIAH KUALA BANDA ACEH 23115,"KEUMANG BANDA ACEH OFFICE, JALAN KAYEE ADANG NO. 11 LAMNYONG (PEURADA UTAMA), DESA LAMGUGUP",2014-02-11,2999-12-31,"Procurement Guidelines, 1.14(a)(ii); 1.14(a)(iv)",DEBARRED,Ongoing,2026-09-23T05:00:01.779Z
306432,LAXMINARAYAN MALLICK,India,"CDA CUTTACK, 753014",PLOT NO. 2D – 221/10 SECTOR - 11,2014-03-25,2999-12-31,"Procurement Guidelines, 1.14(a)(ii)",DEBARRED,Ongoing,2026-09-23T05:00:01.779Z
308496,CONSTRUCTORA ROMERO ARTEAGA,Bolivia,SANTA CRUZ DE LA SIERRA,B/. 3 PASOS AL FRENTE 4TO. ANILLO NO. 2546,2014-05-28,2999-12-31,"Procurement Guidelines, 1.15(a)(ii)",DEBARRED,Ongoing,2026-09-23T05:00:01.779Z
306050,SERVEMTEC LTDA,Brazil,"SÃO JOSÉ DE RIBAMAR, MARANHÃO","RUA 18, QD. 35, CASA 80, VILÁGIO COHATRAC V, CEP 65.052-090",2014-01-02,2999-12-31,"Procurement Guidelines, 1.15(a)(ii)",DEBARRED,Ongoing,2026-09-23T05:00:01.779Z
308342,M/S. FAMY CARE LIMITED,India,MUMBAI – 400 001,"BRADY HOUSE, 3RD FLOOR, 12/14, VEER NARIMAN ROAD, FORT",2017-05-23,2999-12-31,"Procurement Guidelines, 1.14(a)(ii)",DEBARRED,Ongoing,2026-09-23T05:00:01.779Z
305394,PROGRESSIVE CONSTRUCTIONS LIMITED,India,ANDHRA PRADESH,"7TH FLOOR, RAGHAVA NORTH BLOCK, RAGHAVA RATNA TOWERS, CHIRAG ALI LANE, ABIDS, HYDERABAD, 500 001",2013-11-26,2999-12-31,"Procurement Guidelines, 1.14(a)(ii)",DEBARRED,Ongoing,2026-09-23T05:00:01.779Z
308117,SAVOIR SOFT SOLUTIONS PVT. LTD.,India,"NOIDA, UTTAR PRADESH","D-3, SECTOR 59",2014-03-19,2999-12-31,"Consultant Guidelines, 1.22(a)(ii)",DEBARRED,Ongoing,2026-09-23T05:00:01.779Z
306951,L’ENTREPRISE GÉNÉRALE DE CONSTRUCTION ERLINE,Madagascar,ANTANANARIVO 101,LOT II A 119 SA NANISANA,2014-05-28,2999-12-31,"Procurement Guidelines, 1.14(a)(ii)",DEBARRED,Ongoing,2026-09-23T05:00:01.779Z
306071,A.R. DOS SANTOS,Brazil,"SÃO LUIS, MARANHÃO","RUA 07, QDA 14, NO. 21, VILÁGIO COHATRAC IV, CEP 65.054-330",2014-01-02,2999-12-31,"Procurement Guidelines, 1.15(a)(ii)",DEBARRED,Ongoing,2026-09-23T05:00:01.779Z
307237,OSTEK CONSTRUCTION ELECTRIC AUTOMATION SYSTEM TECHNOLOGIES LTD,Turkiye,"KIZILAY, ANKARA",MEŞRUTIYET CAD. HATAY SK. NO: 20/7,2014-02-11,2999-12-31,"Procurement Guidelines, 1.14(a)(ii)",DEBARRED,Ongoing,2026-09-23T05:00:01.779Z
63857,L’ENTREPRISE GÉNÉRALE DE CONSTRUCTION TSIMANAVAKA,Madagascar,101 ANTANANARIVO,LOT IVO 69 K 43 BIS ANTOHOMADINIKA ATSIMO,2014-05-28,2999-12-31,"Procurement Guidelines, 1.14(a)(ii)",DEBARRED,Ongoing,2026-09-23T05:00:01.779Z
112998,MR. JONAS GYLLENSVAAN,United States,,,2001-03-30,2999-12-31,Consultant Guidelines 1.25(a)(i) & (ii),DEBARRED,Permanent,2026-09-23T05:00:01.779Z
113513,DEVELOPMENT AND RELIEF CORPORATION B.V.,Netherlands,4153 BW BEESD,INDUSTRIEWEG 24,2013-09-09,2999-12-31,"2004 Procurement Guidelines, para. 1.14(a)(i)",DEBARRED,Ongoing,2026-09-23T05:00:01.779Z
112854,CASE TECHNOLOGY,United Kingdom,"WATFORD, HERTFORDSHIRE",,1999-06-25,2999-12-31,Procurement Guidelines 1.15(a)(i),DEBARRED,Permanent,2026-09-23T05:00:01.779Z
309783,MR. VALERIY RUSHCHAK,Ukraine,79000 LVIV,OKRUZHNA STR. 51/10,2014-09-19,2999-12-31,"Procurement Guidelines, 1.14(a)(ii)",DEBARRED,Ongoing,2026-09-23T05:00:01.779Z
112904,DATABAS & NATVERKSIDEER,Sweden,STOCKHOLM,,2001-03-30,2999-12-31,Consultant Guidelines 1.25(a)(i),DEBARRED,Permanent,2026-09-23T05:00:01.779Z
113414,SWAAN CONSULTING AB,Sweden,STOCKHOLM,,2001-03-30,2999-12-31,Consultant Guidelines 1.25(a)(i) & (ii),DEBARRED,Permanent,2026-09-23T05:00:01.779Z
189690,URALKOTLOSERVICE PKF ZAO,Russian Federation,SVERDLOVSK OBLAST,"2 BRUSNITSYN, STREET, APT. 14, 623700, BEREZOVSKY",2011-11-29,2999-12-31,"Procurement Guidelines, 1.15(a)(ii)",DEBARRED,Ongoing,2026-09-23T05:00:01.779Z
186137,MR. YANG LIN,China,"100195, BEIJING","C/O SUITE 617 EAST PLAZA, NO. 15 NORTH ROAD, WEST 4TH RING ROAD, HAI DIAN DISTRICT",2011-05-11,2999-12-31,Procurement Guidelines 1.14(a)(ii),DEBARRED,Ongoing,2026-09-23T05:00:01.779Z
112857,CONSULTANTS FOR INTERNATIONAL DEVELOPMENT P.L.C.,United Kingdom,LONDON,,2000-02-11,2999-12-31,Procurement Guidelines 1.15(a)(i) & (ii),DEBARRED,Permanent,2026-09-23T05:00:01.779Z
113691,WEST END ASSOCIATES LTD.,United Kingdom,ISLE OF MAN,,2000-02-11,2999-12-31,Procurement Guidelines 1.15(a)(i) & (ii),DEBARRED,Permanent,2026-09-23T05:00:01.779Z
112929,INFOTEK & CO.,United Kingdom,LONDON,,2000-02-11,2999-12-31,Procurement Guidelines 1.15(a)(i) & (ii),DEBARRED,Permanent,2026-09-23T05:00:01.779Z
112947,LABH SINGH GILL,United Kingdom,WARWICKSHIRE,,2000-02-11,2999-12-31,Procurement Guidelines 1.15(a)(i) & (ii),DEBARRED,Permanent,2026-09-23T05:00:01.779Z
113342,PRODUCTIONSEKONOMI I STOCKHOLM AB,Sweden,STOCKHOLM,,2001-03-30,2999-12-31,Consultant Guidelines 1.25(a)(i),DEBARRED,Permanent,2026-09-23T05:00:01.779Z
312039,"HUBEI HENGDA STEEL STRUCTURE CO., LTD.",China,,,2015-07-02,2999-12-31,"Procurement Guidelines, 1.14(a)(ii)",DEBARRED,Ongoing,2026-09-23T05:00:01.779Z
309327,JYC IMPORT EXPORT,Bolivia,COCHABAMBA,"CALLE 6 NO. 151 ZONA KAMI, QUILLACOLLO",2014-05-15,2999-12-31,"Procurement Guidelines, 1.14(a)(iii)",DEBARRED,Ongoing,2026-09-23T05:00:01.779Z
309328,MR. JHONNY CHOQUE ROJAS,Bolivia,COCHABAMBA,"CALLE 6 NO. 151 ZONA KAMI, QUILLACOLLO",2014-05-15,2999-12-31,"Procurement Guidelines, 1.14(a)(iii)",DEBARRED,Ongoing,2026-09-23T05:00:01.779Z
309329,MS. CORINA RAMIREZ RODRIGUEZ,Bolivia,COCHABAMBA,"CALLE 6 NO. 151 ZONA KAMI, QUILLACOLLO",2014-05-15,2999-12-31,"Procurement Guidelines, 1.14(a)(iii)",DEBARRED,Ongoing,2026-09-23T05:00:01.779Z
309784,PRIVATE ENTERPRISE (PE) RABMER,Ukraine,81400 LVIVSKA OBLAST,"26, PL. RYNOK, SAMBIR",2014-06-03,2999-12-31,"Procurement Guidelines, 1.14(a)(ii)",DEBARRED,Ongoing,2026-09-23T05:00:01.779Z
309044,GROUPE DEC S.A./ DEC GROUP INC.,Benin,COTONOU,"CARRE 3775 QUARTIER FIDJROSSE-KPOTA, BP:131 GODOMEY",2014-07-15,2999-12-31,"Procurement Guidelines, 1.14(a)(ii)",DEBARRED,Ongoing,2026-09-23T05:00:01.779Z
309045,COMSATEL,Bolivia,LA PAZ,"C. REYES ORTIZ NRO.73 EDIF. TORRES GUNDLACH, PISO 4, OF. 404 ZONA: CENTRAL",2014-04-29,2999-12-31,"Procurement Guidelines, 1.14(a)(iii)",DEBARRED,Ongoing,2026-09-23T05:00:01.779Z
309047,MR. SAMUEL CÁRDENAS COLQUE,Bolivia,LA PAZ,"C. REYES ORTIZ NRO. 73, EDIF. TORRES GUNDLACH, PISO 4, OF. 404, ZONA: CENTRAL",2014-04-29,2999-12-31,"Procurement Guidelines, 1.14(a)(iii)",DEBARRED,Ongoing,2026-09-23T05:00:01.779Z
152306,STEEVE LABERGE,Canada,"QUEBEC, J8N 1J1",19 BELVEDERE VAL-DES-MONTS,2014-07-02,2999-12-31,"Consultant Guidelines, 1.25(a)(ii)",DEBARRED,Ongoing,2026-09-23T05:00:01.779Z
316890,LIMITED LIABILITY COMPANY MANUFACTURING AND COMMERCIAL FIRM “ROMA LLC”,Ukraine,"ZAPORIZHZHIA, 69037","39, 40-RICHCHIA RADIANSKOYI UKRAYINY STR.",2015-03-10,2999-12-31,"Procurement Guidelines, 1.14(a)(ii)-(iii)",DEBARRED,Ongoing,2026-09-23T05:00:01.779Z
314961,N.C. SANITORS & SERVICE CORPORATION,Liberia,"PAYNESVILLE, MONROVIA",OPPOSITE LIBERIA BROADCASTING SYSTEM,2014-12-16,2027-12-15,"Procurement Guidelines, 1.14(a)(i)-(ii)",DEBARRED,,2026-09-23T05:00:01.779Z
316826,MR. LUIS SANCHEZ SANTUR,Peru,LIMA,"CALLE ATENAS NÚMERO 380, URBANIZACÍON SAN ROQUE – LOS OLIVOS",2015-03-11,2999-12-31,"Consultant Guidelines, 1.22(a)(ii)",DEBARRED,Ongoing,2026-09-23T05:00:01.779Z
317497,PROJECT CONSTRUCTION S.A.C.,Peru,LIMA,"CALLE RICARDO ÁNGULO 834, URB. CORPAC-SAN ISIDRO",2015-06-23,2999-12-31,"Procurement Guidelines, 1.14(a)(ii)",DEBARRED,Ongoing,2026-09-23T05:00:01.779Z
317498,ANGEL ZAMBRANO NAVARRO,Peru,LIMA,"CALLE RICARDO ÁNGULO 834, URB. CORPAC-SAN ISIDRO",2015-04-14,2999-12-31,"Procurement Guidelines, 1.14(a)(ii)",DEBARRED,Ongoing,2026-09-23T05:00:01.779Z
317648,"SHANDONG HUALONG LANDSCAPING ENGINEERING CO., LTD.",China,SHANDONG PROVINCE,"ROOM #2312, 23RD FLOOR, TOWER 2, 61 HAIER ROAD, QINGDAO",2015-04-21,2999-12-31,"Procurement Guidelines, 1.14(a)(ii)",DEBARRED,Ongoing,2026-09-23T05:00:01.779Z
316628,MR. LUDWIG ATAHUALPA HUERTA,Peru,PROVINCIA Y DEPARTAMENTO DE LIMA,"CALLE BAHIA MZ. U LOTE N. 7A, URB. SOL DE LA MOLINA II ETAPA, DISTRITO DE LA MOLINA",2015-02-25,2999-12-31,"Procurement Guidelines, 1.14(a)(ii)",DEBARRED,Ongoing,2026-09-23T05:00:01.779Z
319342,"SOLUCIONES ENERGÉTICAS, S. A.",Spain,MADRID 28021,"AVENIDA REAL DE PINTO, 146",2015-07-10,2999-12-31,"Procurement Guidelines, 1.14(a)(i)",DEBARRED,Ongoing,2026-09-23T05:00:01.779Z
319200,MR. NIKOLAI GEORGIEVITCH OBRADOVITCH,Sweden,181 38 LIDINGÖ,LAST KNOWN ADDRESS: LARSBERGSVÄGEN 17 LGH 1806,2015-10-30,2999-12-31,"Consultant Guidelines, 1.22(a)(i)",DEBARRED,Ongoing,2026-09-23T05:00:01.779Z
